Savings Account Number,Identification Number,Last Name,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Credit Max,Credit Starting Balance,Address,First Name
2027,28,Disney,12-Jun-74,1027,3027,(714) 781-4636,497.18,2174.36,3330,-1746.06,"1313 Disneyland Dr, Anaheim, CA 92802",Kaa
2028,29,Queen,9-Oct-69,1028,3028,(714) 781-4636,1182.19,1774.47,4063,-67.5,"1313 Disneyland Dr, Anaheim, CA 92802",Evil
2029,30,Disney,2-Jul-36,1029,3029,(714) 781-4636,117.1,2904.72,7790,-668.46,"1313 Disneyland Dr, Anaheim, CA 92802",Pinocchio
2030,31,Eric,10-Feb-13,1030,3030,(714) 781-4636,854.15,1128.81,6170,-518.86,"1313 Disneyland Dr, Anaheim, CA 92802",Prince
2031,32,Disney,8-Aug-67,1031,3031,(714) 781-4636,1823.28,4910.83,5648,-1093.96,"1313 Disneyland Dr, Anaheim, CA 92802",Quasimodo
2032,33,Disney,5-Jun-41,1032,3032,(714) 781-4636,1907.12,3905.18,3727,-1917.54,"1313 Disneyland Dr, Anaheim, CA 92802",Hercules
2033,34,Disney,21-Jan-65,1033,3033,(714) 781-4636,1225.87,2203.75,5715,-1044.4,"1313 Disneyland Dr, Anaheim, CA 92802",Mulan
2034,35,Disney,29-May-01,1034,3034,(714) 781-4636,965.68,2228.27,6744,-403.74,"1313 Disneyland Dr, Anaheim, CA 92802",Lilo
2035,36,Disney,25-Oct-37,1035,3035,(714) 781-4636,60.07,2732.42,9669,-979.79,"1313 Disneyland Dr, Anaheim, CA 92802",Stitch
2036,37,Abed,8-Oct-34,1036,3036,(915) 747-5000,1494.66,1333.24,3685,-933.2,"500 W. University Ave, El Paso, TX 79968",Ali
2037,38,Acosta,10-Jan-06,1037,3037,(915) 747-5001,674.2,3536.52,8874,-174.38,"500 W. University Ave, El Paso, TX 79968",Kevin
2038,39,Aguirre,29-Dec-28,1038,3038,(915) 747-5002,1102.03,4966.98,7079,-440.86,"500 W. University Ave, El Paso, TX 79968",Antonio
2039,40,Anderson,3-Jun-33,1039,3039,(915) 747-5003,1871.94,1467.54,7888,-1789.14,"500 W. University Ave, El Paso, TX 79968",Madison
2040,41,Aofia,1-Apr-28,1040,3040,(915) 747-5004,1384.98,550.66,7283,-647.74,"500 W. University Ave, El Paso, TX 79968",Kevin
2041,42,Armendariz,4-Dec-70,1041,3041,(915) 747-5005,1236.21,2090.77,9104,-1872.64,"500 W. University Ave, El Paso, TX 79968",Angel
2042,43,Atiyeh,10-Mar-32,1042,3042,(915) 747-5006,454.39,1971.48,8844,-808.33,"500 W. University Ave, El Paso, TX 79968",Nadia
2043,44,Avila,28-Jun-72,1043,3043,(915) 747-5007,1612.07,2695.69,5760,-981.2,"500 W. University Ave, El Paso, TX 79968",Nicole
2044,45,Carrera Pio,3-Aug-70,1044,3044,(915) 747-5008,1452.68,3564.4,6578,-1444.68,"500 W. University Ave, El Paso, TX 79968",Andrea
2045,46,Davila,5-Apr-62,1045,3045,(915) 747-5009,626.08,2123.11,3995,-1423.93,"500 W. University Ave, El Paso, TX 79968",Luis
2046,47,De La Torre,15-Feb-46,1046,3046,(915) 747-5010,1125.8,3246.9,7616,-771.51,"500 W. University Ave, El Paso, TX 79968",Vincent
2047,48,Escobedo,4-Nov-38,1047,3047,(915) 747-5011,1967.75,1292.08,6238,-1336.66,"500 W. University Ave, El Paso, TX 79968",Oswaldo
2048,49,Espino,23-May-89,1048,3048,(915) 747-5012,1125.11,2661.51,3367,-333.46,"500 W. University Ave, El Paso, TX 79968",Ivan
2049,50,Garcia,20-Apr-46,1049,3049,(915) 747-5013,609.26,2813.29,4959,-887.78,"500 W. University Ave, El Paso, TX 79968",Julio
2050,51,Garcia Tovar,21-May-75,1050,3050,(915) 747-5014,746.12,4579.12,6149,-1872.99,"500 W. University Ave, El Paso, TX 79968",Mauricio
2051,52,Gomez,14-Nov-44,1051,3051,(915) 747-5015,999.53,3239.88,5474,-1204.9,"500 W. University Ave, El Paso, TX 79968",Denise
2052,53,Gonzalez,17-Dec-42,1052,3052,(915) 747-5016,511.64,2773.99,3425,-327.47,"500 W. University Ave, El Paso, TX 79968",Paulie Jo
2053,54,Guerrero,2-Apr-11,1053,3053,(915) 747-5017,1141.1,4605.42,3749,-1905.76,"500 W. University Ave, El Paso, TX 79968",Raul
2054,55,Herrera,20-Apr-84,1054,3054,(915) 747-5018,351.01,1115.43,4529,-806.67,"500 W. University Ave, El Paso, TX 79968",Matthew
2055,56,Kish,7-Sep-00,1055,3055,(915) 747-5019,1117.29,3968.82,7599,-560.84,"500 W. University Ave, El Paso, TX 79968",Ethan
2056,57,Licon,19-Aug-10,1056,3056,(915) 747-5020,1140.14,1106.08,9764,-759.99,"500 W. University Ave, El Paso, TX 79968",Diana
2057,58,Loyda,18-Aug-35,1057,3057,(915) 747-5021,1345.88,3558.68,5297,-169.67,"500 W. University Ave, El Paso, TX 79968",Dustyn
2058,59,Macias,9-Jan-15,1058,3058,(915) 747-5022,1594.88,467.97,8755,-379.34,"500 W. University Ave, El Paso, TX 79968",Mario
2059,60,Moreno,16-Aug-67,1059,3059,(915) 747-5023,286.99,744.68,8395,-93.97,"500 W. University Ave, El Paso, TX 79968",Daniel
2060,61,Moreno,21-Jun-38,1060,3060,(915) 747-5024,122.09,4175,7058,-112.43,"500 W. University Ave, El Paso, TX 79968",Jacob
2061,62,Moreno,19-Jun-95,1061,3061,(915) 747-5025,1720.98,4590.13,9479,-441.55,"500 W. University Ave, El Paso, TX 79968",Kevin
2062,63,Munoz,31-Mar-90,1062,3062,(915) 747-5026,1122.97,2770.82,5497,-247.76,"500 W. University Ave, El Paso, TX 79968",Leonardo
2063,64,Nolasco,5-Feb-44,1063,3063,(915) 747-5027,1909.57,3535.51,5396,-1809.93,"500 W. University Ave, El Paso, TX 79968",Francisco
2064,65,Orozco,11-Sep-02,1064,3064,(915) 747-5028,733.01,3956.72,5532,-219.13,"500 W. University Ave, El Paso, TX 79968",Roberto
2065,66,Pele,1-May-28,1065,3065,(915) 747-5029,1267.41,1470.01,3635,-514.36,"500 W. University Ave, El Paso, TX 79968",Elijah
2066,67,Perez,4-Mar-16,1066,3066,(915) 747-5030,1237.34,3956.38,7857,-709.81,"500 W. University Ave, El Paso, TX 79968",Omar
2067,68,Quinones Rodriguez,16-Jun-67,1067,3067,(915) 747-5031,1660.35,883.35,5363,-1069.22,"500 W. University Ave, El Paso, TX 79968",Diego
2068,69,Rabelo,8-Aug-85,1068,3068,(915) 747-5032,976.91,4388.83,3159,-1355.66,"500 W. University Ave, El Paso, TX 79968",Juan
2069,70,Ramos,13-May-10,1069,3069,(915) 747-5033,921.9,3603.43,3514,-1522.54,"500 W. University Ave, El Paso, TX 79968",Angel
2070,71,Retana,11-Jul-33,1070,3070,(915) 747-5034,1748.01,2771.84,4965,-314.23,"500 W. University Ave, El Paso, TX 79968",Efrain
2071,72,Richart Ruiz,21-Jun-47,1071,3071,(915) 747-5035,1960.66,356.23,4861,-1917.83,"500 W. University Ave, El Paso, TX 79968",Hector
2072,73,Rodriguez,28-Aug-28,1072,3072,(915) 747-5036,1885.03,1693.87,8168,-764.95,"500 W. University Ave, El Paso, TX 79968",Andrew
2073,74,Salas,16-Jan-01,1073,3073,(915) 747-5037,155.45,4331.13,8666,-683.78,"500 W. University Ave, El Paso, TX 79968",Joel
2074,75,Sanchez,18-Jan-04,1074,3074,(915) 747-5038,1927.01,1184.67,8464,-1870.15,"500 W. University Ave, El Paso, TX 79968",David
2075,76,Sanchez Jr,29-Oct-52,1075,3075,(915) 747-5039,446.02,371.91,3288,-1925.1,"500 W. University Ave, El Paso, TX 79968",Jose
2076,77,Schlosser,10-Sep-78,1076,3076,(915) 747-5040,539.39,1462.05,8584,-1298.39,"500 W. University Ave, El Paso, TX 79968",Madison
2077,78,Trinh,16-Apr-35,1077,3077,(915) 747-5041,1598.78,2482.41,5127,-137.26,"500 W. University Ave, El Paso, TX 79968",Dillon
2078,79,Valdez,29-Mar-13,1078,3078,(915) 747-5042,865.78,2441.59,9297,-13.08,"500 W. University Ave, El Paso, TX 79968",Stephanie
2079,80,Aun,30-Jan-40,1079,3079,(915) 747-5043,1056.89,4956.44,9385,-90.12,"500 W. University Ave, El Paso, TX 79968",Nathan
2080,81,Rahad,21-Apr-04,1080,3080,(915) 747-5044,1476.49,820.24,3989,-1279.19,"500 W. University Ave, El Paso, TX 79968",Khandoker
2081,82,Mejia,21-Nov-61,1081,3081,(915) 747-5045,1896.71,1291.35,9463,-1617.37,"500 W. University Ave, El Paso, TX 79968",Daniel
2082,83,A,12-Dec-06,1082,3082,(915) 747-5046,556.34,3341.24,3255,-718.64,"500 W. University Ave, El Paso, TX 79968",Daniel
2083,84,B,20-Jun-89,1083,3083,(915) 747-5047,882.94,2785.5,4086,-1352.48,"500 W. University Ave, El Paso, TX 79968",Daniel
2084,85,C,2-Aug-34,1084,3084,(915) 747-5048,1333.52,487.93,8506,-1129.82,"500 W. University Ave, El Paso, TX 79968",Daniel
2085,86,D,10-May-65,1085,3085,(915) 747-5049,1185.21,1181.34,9474,-1963.63,"500 W. University Ave, El Paso, TX 79968",Daniel
2086,87,E,27-Nov-57,1086,3086,(915) 747-5050,295.75,1650.98,6472,-284.97,"500 W. University Ave, El Paso, TX 79968",Daniel
2087,88,F,3-Aug-52,1087,3087,(915) 747-5051,784.66,1288.07,8680,-947.97,"500 W. University Ave, El Paso, TX 79968",Daniel
2088,89,G,22-Jul-87,1088,3088,(915) 747-5052,1506.23,1345.49,8589,-1616.93,"500 W. University Ave, El Paso, TX 79968",Daniel
2089,90,H,23-Oct-88,1089,3089,(915) 747-5053,980.56,3629.44,9345,-585.13,"500 W. University Ave, El Paso, TX 79968",Daniel
2090,91,I,11-Feb-32,1090,3090,(915) 747-5054,1428.56,935.91,4226,-1537.29,"500 W. University Ave, El Paso, TX 79968",Daniel
2091,92,J,18-Dec-04,1091,3091,(915) 747-5055,1044.65,3971.88,5023,-1795.98,"500 W. University Ave, El Paso, TX 79968",Daniel
2092,93,K,12-Mar-92,1092,3092,(915) 747-5056,1875.64,2098.64,9353,-732.62,"500 W. University Ave, El Paso, TX 79968",Daniel
2093,94,L,7-Apr-93,1093,3093,(915) 747-5057,225.74,1721.42,9642,-1629.14,"500 W. University Ave, El Paso, TX 79968",Daniel
2094,95,N,16-Mar-59,1094,3094,(915) 747-5058,1192.62,1826.73,6214,-274.72,"500 W. University Ave, El Paso, TX 79968",Daniel
2095,96,O,30-Aug-13,1095,3095,(915) 747-5059,1684.52,3245.33,4790,-1789.46,"500 W. University Ave, El Paso, TX 79968",Daniel
2096,97,P,1-Feb-95,1096,3096,(915) 747-5060,1330.08,3913.81,7198,-1613.33,"500 W. University Ave, El Paso, TX 79968",Daniel
2097,98,Q,16-Aug-35,1097,3097,(915) 747-5061,36.27,1908.1,3706,-1177.43,"500 W. University Ave, El Paso, TX 79968",Daniel
2098,99,R,9-Mar-66,1098,3098,(915) 747-5062,542.49,238.88,4789,-300.96,"500 W. University Ave, El Paso, TX 79968",Daniel
2099,100,S,26-Sep-83,1099,3099,(915) 747-5063,1517.45,3889.94,7622,-1984.51,"500 W. University Ave, El Paso, TX 79968",Daniel
2100,101,T,19-Nov-69,1100,3100,(915) 747-5064,1303.56,3488.36,6043,-752.26,"500 W. University Ave, El Paso, TX 79968",Daniel
2101,102,U,16-Oct-45,1101,3101,(915) 747-5065,310.9,2635.56,8646,-1533.68,"500 W. University Ave, El Paso, TX 79968",Daniel
2102,103,V,23-Feb-87,1102,3102,(915) 747-5066,1740.83,3575.54,3442,-484.37,"500 W. University Ave, El Paso, TX 79968",Daniel
2103,104,W,27-Aug-77,1103,3103,(915) 747-5067,1525.05,2369.59,8939,-437.04,"501 W. University Ave, El Paso, TX 79968",Daniel
2104,105,X,29-Jun-63,1104,3104,(915) 747-5068,1366.53,3399.89,5429,-156.81,"502 W. University Ave, El Paso, TX 79968",Daniel
2105,106,Y,11-Dec-54,1105,3105,(915) 747-5069,1681.08,2262.78,9411,-729.57,"503 W. University Ave, El Paso, TX 79968",Daniel
2106,107,Z,8-Jul-72,1106,3106,(915) 747-5070,512.74,3581.6,3010,-1404.96,"504 W. University Ave, El Paso, TX 79968",Daniel
